epoch,loss,val_loss
0,14342.94043,11053.93359
1,14246.74023,10675.19629
2,14148.17676,10398.28613
3,14047.6543,10167.05664
4,13945.44043,9953.758789
5,13841.74414,9773.241211
6,13736.61426,9632.439453
7,13630.25586,9508.576172
8,13522.82324,9390.073242
9,13414.41895,9276.885742
0,14436.77832,14402.1582
1,14349.84668,14303.97168
2,14260.86523,14204.30957
3,14170.09668,14102.9502
4,14077.61133,13997.15332
5,13983.55176,13888.39355
6,13888.14063,13776.49707
7,13791.65918,13662.53906
8,13694.29199,13545.94824
9,13596.28418,13431.4502
0,13925.85449,11326.89648
1,13814.13477,11215.97949
2,13699.73633,11100.9082
3,13582.7793,10983.05176
4,13463.46094,10863.63965
5,13342.28613,10743.19824
6,13220.10645,10622.33984
7,13098.10254,10501.3877
8,12976.96094,10380.52637
9,12856.74121,10259.90039
0,10558.69824,11331.72461
1,10460.05664,11179.53223
2,10362.15039,11032.25977
3,10265.24512,10890.14063
4,10169.63867,10753.23145
5,10075.60742,10621.22461
6,9983.361328,10493.81543
7,9893.041992,10370.61816
8,9804.829102,10251.22266
9,9718.796875,10135.38574
0,11443.71484,11068.37891
1,11345.88379,10957.75391
2,11247.27344,10846.79395
3,11148.2373,10736.02539
4,11049.16309,10625.71777
5,10950.35254,10516.00879
6,10851.99023,10406.96289
7,10754.27441,10298.74316
8,10657.45898,10191.53516
9,10561.64453,10085.53223
0,9803.469727,7500.333008
1,9789.313477,7419.963867
2,9769.379883,7348.025879
3,9743.68457,7283.592285
4,9712.443359,7225.905273
5,9676.166992,7174.130371
6,9635.494141,7127.584961
7,9591.063477,7085.623535
8,9543.592773,7047.74707
9,9493.834961,7013.493652
0,7899.657715,9057.323242
1,7869.654785,9014.443359
2,7836.897461,8969.116211
3,7801.666504,8921.712891
4,7764.233398,8872.548828
5,7724.84668,8821.939453
6,7683.750977,8770.183594
7,7641.182617,8717.561523
8,7597.356934,8664.356445
9,7552.467285,8610.816406
0,7458.481445,5845.612305
1,7416.835938,5787.343262
2,7375.083496,5729.888184
3,7333.34082,5673.348633
4,7291.708496,5617.830078
5,7250.26416,5563.411621
6,7209.056152,5510.158203
7,7168.165039,5458.085449
8,7127.641602,5407.217773
9,7087.525879,5357.584473
0,8231.194336,6976.774902
1,8184.21582,6941.500977
2,8136.321777,6907.067383
3,8087.772461,6873.5
4,8038.773438,6840.76416
5,7989.526367,6808.858398
6,7940.231934,6777.741211
7,7891.032715,6747.393066
8,7842.053711,6717.682617
9,7793.290527,6688.561523
0,8190.807129,7809.790039
1,8183.376465,7773.494629
2,8167.413086,7741.786133
3,8143.266602,7713.992188
4,8111.686035,7689.56543
5,8073.651367,7668.067383
6,8030.200684,7649.114258
7,7982.37207,7632.407227
8,7931.001465,7617.692871
9,7876.875977,7604.72168
0,8666.186523,6237.120605
1,8635.701172,6169.999512
2,8601.798828,6104.273438
3,8564.561523,6039.697754
4,8524.178711,5976.088379
5,8480.878906,5913.324219
6,8434.942383,5851.228516
7,8386.709961,5789.700195
8,8336.532227,5728.611328
9,8284.744141,5667.897949
0,8816.857422,6155.450195
1,8700.796875,6122.47168
2,8539.383789,6094.424316
3,8346.537109,6071.119629
4,8134.25,6052.338867
5,7912.57959,6037.758789
6,7689.47168,6026.784668
7,7470.858398,6018.619629
8,7260.955566,6012.107422
9,7062.540527,6005.969238
0,8911.157227,6021.106934
1,8901.495117,6005.567383
2,8883.328125,5979.611816
3,8854.116211,5942.875488
4,8814.535156,5896.174805
5,8766.21582,5840.1875
6,8709.583008,5774.994629
7,8644.985352,5699.557617
8,8572.482422,5613.753418
9,8490.923828,5516.256836
0,6501.667969,3799.410889
1,6415.330078,3704.346191
2,6323.307129,3607.189941
3,6226.688965,3508.699219
4,6126.380371,3409.493408
5,6023.208496,3310.02417
6,5917.95752,3210.728027
7,5811.372559,3112.011475
8,5704.125,3014.181641
9,5596.840332,2917.510498
0,6950.541504,4568.386719
1,6821.083496,4449.918945
2,6691.15918,4332.236816
3,6561.69043,4215.956055
4,6433.572266,4101.638184
5,6307.57373,3989.815918
6,6184.668945,3880.93042
7,6065.461914,3775.3125
8,5950.348633,3673.20752
9,5839.611816,3574.794434
0,5110.049805,2968.514648
1,5070.072754,2875.242676
2,5031.48877,2788.469238
3,4993.708984,2707.618164
4,4956.278809,2632.204102
5,4918.795898,2561.689209
6,4881.004395,2495.582275
7,4842.793945,2433.462158
8,4804.07373,2374.947754
9,4764.835449,2319.733154
0,5230.835938,2101.184814
1,5188.312012,2053.844482
2,5144.638672,2006.660767
3,5100.183105,1959.807251
4,5055.356934,1913.478271
5,5010.226563,1867.894897
6,4965.151855,1823.239258
7,4920.410645,1779.625
8,4876.233887,1737.155029
9,4832.79834,1695.89917
0,3215.357666,1879.051025
1,3186.727051,1846.94458
2,3159.693359,1816.382446
3,3134.161377,1787.261963
4,3110.042725,1759.487671
5,3087.251465,1732.974243
6,3065.688232,1707.620728
7,3045.27002,1683.34668
8,3025.905518,1660.062866
9,3007.503174,1637.690308
0,3285.588623,1512.851196
1,3281.32959,1497.821533
2,3270.831299,1479.833496
3,3254.700928,1459.418579
4,3233.735352,1437.220459
5,3208.86377,1413.910156
6,3181.050781,1390.136963
7,3151.25415,1366.482544
8,3120.370117,1343.453003
9,3089.199707,1321.453857
0,3308.98877,1235.469727
1,3298.981934,1226.19873
2,3288.084717,1217.257324
3,3276.202881,1208.372559
4,3263.292725,1199.347412
5,3249.356934,1190.04187
6,3234.420166,1180.366699
7,3218.54541,1170.283081
8,3201.814209,1159.782104
9,3184.342285,1148.882935
0,2706.887451,1511.987183
1,2694.204834,1497.432251
2,2678.322998,1483.69165
3,2659.948242,1470.809204
4,2639.767578,1458.826172
5,2618.422852,1447.769897
6,2596.497314,1437.653809
7,2574.48999,1428.451172
8,2552.828125,1420.108887
9,2531.84375,1412.552734
0,3889.465332,1541.239624
1,3850.272217,1539.59375
2,3807.16333,1539.202637
3,3761.92041,1539.756958
4,3716.083984,1540.943726
5,3670.841309,1542.467407
6,3627.072998,1544.025513
7,3585.456299,1545.345459
8,3546.395264,1546.168701
